# QEMU decode-identity / Capstone-constant PAIR CENSUS -- the observed set the
# generated champsim_tracer_qemu_ident_aarch64.h rests on.
#
# Written by the tracer (CST_QEMU_IDENT_PAIRS=<path>, ONE qemu process per
# file) and folded in here by tools/merge_ident_pairs.py, which is a UNION:
# a rule that has ever been observed stays observed, so regeneration cannot
# narrow the table.  Sorted by (decode_id, cap_insn_id) so a diff is readable.
#
# The NAME is not decoration.  A decode id is not stable across source edits
# -- on i386 it is __LINE__ in decode-new.c.inc -- so the name is what proves
# a banked record still belongs to the rule it was taken from.  Both this
# tool's `verify` and the generator refuse a record whose name disagrees with
# the current universe.
#
#decode_id	decode_name	cap_insn_id	count
3298155240	disas_a64/SWP	1233	18
3298155240	disas_a64/SWP	1238	4
3308158683	disas_a64/FMSUB	431	58
3310855729	disas_a64/EOR_v	313	20
3325266785	disas_a64/SUB_i@.101000100......................	1211	1434
3330511833	disas_a64/STR_i@..111000000.........01..........	1181	20
3330511833	disas_a64/STR_i@..111000000.........01..........	1182	50
3330704733	disas_a64/STR_v_i@..111100000.........01..........	1182	4
3332341386	disas_a64/STR_i@..111000000.........00..........	1187	2
3332341386	disas_a64/STR_i@..111000000.........00..........	1188	364
3339862838	disas_a64/BSL_v	122	4
3365289642	disas_a64/UMAXP_v	1292	141
3377966205	disas_a64/EOR_r	313	764
3399480720	disas_a64/FNEG_s	434	3
3425847658	disas_a64/LDR@00111000011.........10..........	633	129
3426242238	disas_a64/UZP1	1388	4
3437929192	disas_a64/UBFM	1281	851
3447094077	disas_a64/UMOV	1313	6
3448720944	disas_a64/LDXR	579	62
3448720944	disas_a64/LDXR	719	26
3461854300	disas_a64/EOR_i	313	50
3504646308	disas_a64/LDR@11111000011.........10..........	634	429
3516028062	disas_a64/ORR_v	774	218
3537301008	disas_a64/ADC	5	14
3554177137	disas_a64/BFM@1011001101......................	87	12
3567358845	disas_a64/MOVK@111100101.......................	746	334
3583138538	disas_a64/ORR_r	771	12
3583138538	disas_a64/ORR_r	774	13560
3591349645	disas_a64/LDR_i@10111000100.........00..........	714	3
3602738033	disas_a64/MOVZ@110100101.......................	750	3337
3611811923	disas_a64/LDR_i@10111000010.........00..........	710	293
3617077096	disas_a64/SVC	1221	431
3700581871	disas_a64/ORR_i	774	326
3705687674	disas_sve/WHILE	1402	27
3720148579	disas_a64/ANDS_i@111100100.......................	30	217
3721535913	disas_a64/B_cond	51	9810
3729274472	disas_a64/LDR_i@00111000010.........11..........	633	69
3730472962	disas_a64/LDR_i@11111000010.........11..........	634	65
3746735599	disas_a64/FRINTX_s	454	6
3771925426	disas_a64/UBFM@01010011000.....0...............	1281	227
3777853909	disas_a64/MOVN@0001001010......................	747	264
3786450146	disas_a64/ADDS_i@.011000101......................	18	74
3838825291	disas_a64/LDR_i@11111000010.........01..........	634	124
3910290381	disas_a64/CSEL	284	1079
3910290381	disas_a64/CSEL	285	650
3910290381	disas_a64/CSEL	286	88
3910290381	disas_a64/CSEL	287	47
3910346412	disas_a64/FADD_v@0.0011100.1.....110101..........	336	14
3921613830	disas_a64/AND_r	32	436
3921613830	disas_a64/AND_r	92	32
3931262509	disas_a64/SSHLL_v	1114	10
3931262509	disas_a64/SSHLL_v	1115	10
3952158641	disas_a64/CCMP	142	3
3952158641	disas_a64/CCMP	143	729
3953507317	disas_sve/ST_zpri@1110010....0....111.............	1119	83
3966768902	disas_a64/MADD_w	731	30
4027702042	disas_a64/EOR_i@110100100.......................	313	26
4041858180	disas_a64/ST_mult@0.001100.00.....1010............	1134	4
4052794794	disas_a64/ST2G@11011001101.........10..........	1137	21
4058043176	disas_a64/SUBS_i@.111000101......................	1210	59
4086061564	disas_a64/ST_mult@0.001100.00.....0000............	1150	4
